id_w_time,latitude,longitude,id,x,y,year,month,week,date,time_of_year,acq_time,fire,pop_density,obs_ID,city,in_urban_area,settlement,adm2_name,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive,map_col
41-0.4-198-2023,0.44219,41.02122,41-0.4,41,0.4,2023,7,29,2023-07-17,198,1019,1,16.02399451668198,26641,NA,FALSE,TRUE,Afmadow,13.405953407287598,0,1,2,0,0,41-0,1,0,NA
41-0.4-198-2023,0.44227,41.02163,41-0.4,41,0.4,2023,7,29,2023-07-17,198,1019,1,16.02399451668198,26640,NA,FALSE,TRUE,Afmadow,13.405953407287598,0,1,2,0,0,41-0,1,0,NA
41-0.4-47-2023,0.4089,41.02004,41-0.4,41,0.4,2023,2,7,2023-02-16,47,1049,1,16.02399451668198,24990,NA,FALSE,TRUE,Afmadow,27.98353385925293,0,1,1,0,0,41-0,1,0,NA
41-0.5-79-2023,0.50874,41.03109,41-0.5,41,0.5,2023,3,12,2023-03-20,79,1051,1,8.068444456372942,26180,NA,FALSE,FALSE,NA,7.391213417053223,0,1,1,0,0,41-0,1,0,NA
41-1.7-194-2023,1.71745,41.01239,41-1.7,41,1.7000000000000002,2023,7,28,2023-07-13,194,1132,1,13.111042737960815,26632,NA,FALSE,TRUE,Baardheere,12.54016399383545,0,2,1,0,0,41-2,1,0,NA
41-1.7-229-2023,1.727,41.01825,41-1.7,41,1.7000000000000002,2023,8,33,2023-08-17,229,2229,1,13.111042737960815,26720,NA,FALSE,FALSE,NA,11.212910652160645,0,1,2,0,0,41-2,1,0,NA
41-1.7-229-2023,1.7281,41.01864,41-1.7,41,1.7000000000000002,2023,8,33,2023-08-17,229,2320,1,13.111042737960815,26719,NA,FALSE,FALSE,NA,11.212910652160645,0,1,2,0,0,41-2,1,0,NA
41-2.3-353-2022,2.30847,41.02289,41-2.3,41,2.3000000000000003,2022,12,51,2022-12-19,353,2157,1,5.625151566096714,24055,NA,FALSE,FALSE,NA,4.2617621421813965,0,1,1,0,0,41-2,1,0,NA
41-2.8-271-2023,2.7991,41.00916,41-2.8,41,2.8000000000000003,2023,9,39,2023-09-28,271,2153,1,56.287916769926575,27224,NA,FALSE,TRUE,Ceel Waaq,28.555774688720703,0,1,1,0,0,41-3,1,0,NA
41.1-0.4-68-2023,0.42834,41.05489,41.1-0.4,41.1,0.4,2023,3,10,2023-03-09,68,1008,1,6.876160088512632,25816,NA,FALSE,FALSE,NA,10.881305694580078,0,1,1,0,0,41-0,1,0,NA
41.1-1.8-277-2023,1.84162,41.05528,41.1-1.8,41.1,1.8,2023,10,40,2023-10-04,277,0722,1,8.364518264929453,27280,NA,FALSE,FALSE,NA,5.993160247802734,0,1,1,0,0,41-2,1,0,NA
41.1-2-261-2023,1.96294,41.13188,41.1-2,41.1,2,2023,9,38,2023-09-18,261,1041,1,6.683894402450985,27086,NA,FALSE,TRUE,Baardheere,6.156522274017334,0,1,2,0,0,41-2,1,0,NA
41.1-2-261-2023,1.95963,41.13237,41.1-2,41.1,2,2023,9,38,2023-09-18,261,1041,1,6.683894402450985,27087,NA,FALSE,TRUE,Baardheere,6.508512020111083,0,1,2,0,0,41-2,1,0,NA
41.2--1.1-216-2022,-1.12944,41.2128,41.2--1.1,41.2,-1.1,2022,8,31,2022-08-04,216,2305,1,5.320372686386109,23038,NA,FALSE,FALSE,NA,6.699852466583253,0,1,2,0,0,41--1,207,0,NA
41.2--1.1-216-2022,-1.129443,41.212799,41.2--1.1,41.2,-1.1,2022,8,31,2022-08-04,216,2306,1,5.320372686386109,23037,NA,FALSE,FALSE,NA,6.699852466583253,0,1,2,0,0,41--1,207,0,NA
41.2--1.1-6-2023,-1.13002,41.2142,41.2--1.1,41.2,-1.1,2023,1,1,2023-01-06,6,2258,1,5.320372686386109,24164,NA,FALSE,FALSE,NA,6.699852466583253,0,1,1,0,0,41--1,207,0,NA
41.2-0.8-292-2023,0.84269,41.23277,41.2-0.8,41.2,0.8,2023,10,42,2023-10-19,292,0744,1,3.0599686023261814,27373,NA,FALSE,FALSE,NA,2.633643627166748,0,1,1,0,0,41-1,1,0,NA
41.2-1.7-277-2023,1.69906,41.21017,41.2-1.7,41.2,1.7000000000000002,2023,10,40,2023-10-04,277,0722,1,7.406893541415532,27281,NA,FALSE,FALSE,NA,6.581357479095459,0,2,1,0,0,41-2,1,0,NA
41.3--1.3-248-2022,-1.30566,41.3447,41.3--1.3,41.3,-1.3,2022,9,36,2022-09-05,248,1026,1,5.219074726104736,23257,NA,FALSE,FALSE,NA,4.787289142608643,0,6,2,0,0,41--1,207,0,NA
41.3--1.3-248-2022,-1.29495,41.33787,41.3--1.3,41.3,-1.3,2022,9,36,2022-09-05,248,1117,1,5.219074726104736,23256,NA,FALSE,FALSE,NA,4.787289142608643,0,6,2,0,0,41--1,207,0,NA
41.3--1.3-299-2022,-1.26313,41.34159,41.3--1.3,41.3,-1.3,2022,10,43,2022-10-26,299,1019,1,5.219074726104736,23881,NA,FALSE,FALSE,NA,5.416546821594238,0,1,1,0,0,41--1,207,0,NA
41.3-2-281-2023,2.03934,41.25242,41.3-2,41.3,2,2023,10,41,2023-10-08,281,1013,1,7.681139979097578,27313,NA,FALSE,FALSE,NA,6.114736557006837,0,1,1,0,0,41-2,1,0,NA
41.4--1.1-103-2023,-1.09483,41.42944,41.4--1.1,41.400000000000006,-1.1,2023,4,15,2023-04-13,103,1051,1,5.046753249234623,26453,NA,FALSE,FALSE,NA,5.5398383140563965,0,1,1,0,1,41--1,207,0,NA
41.4--1.1-143-2023,-1.14224,41.43814,41.4--1.1,41.400000000000006,-1.1,2023,5,21,2023-05-23,143,1002,1,5.046753249234623,26539,NA,FALSE,FALSE,NA,5.446498870849609,0,2,3,0,1,41--1,207,0,NA
41.4--1.1-143-2023,-1.14736,41.44283,41.4--1.1,41.400000000000006,-1.1,2023,5,21,2023-05-23,143,1002,1,5.046753249234623,26541,NA,FALSE,FALSE,NA,6.524869918823242,0,2,3,0,1,41--1,207,0,NA
41.4--1.1-143-2023,-1.13653,41.43733,41.4--1.1,41.400000000000006,-1.1,2023,5,21,2023-05-23,143,1002,1,5.046753249234623,26540,NA,FALSE,FALSE,NA,5.53073787689209,0,2,3,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.11951,41.3705,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1032,1,5.046753249234623,23712,NA,FALSE,FALSE,NA,4.480608940124512,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.1308,41.3705,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1036,1,5.046753249234623,23711,NA,FALSE,FALSE,NA,4.652833938598633,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.12018,41.37278,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1121,1,5.046753249234623,23710,NA,FALSE,FALSE,NA,4.480608940124512,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-277-2022,-1.12086,41.3685,41.4--1.1,41.400000000000006,-1.1,2022,10,40,2022-10-04,277,1121,1,5.046753249234623,23709,NA,FALSE,FALSE,NA,4.480608940124512,0,2,4,0,1,41--1,207,0,NA
41.4--1.1-316-2022,-1.13474,41.41646,41.4--1.1,41.400000000000006,-1.1,2022,11,46,2022-11-12,316,1049,1,5.046753249234623,23965,NA,FALSE,FALSE,NA,4.468106269836426,0,1,1,0,1,41--1,207,0,NA
41.4--1.1-43-2023,-1.14843,41.38052,41.4--1.1,41.400000000000006,-1.1,2023,2,7,2023-02-12,43,1119,1,5.046753249234623,24849,NA,FALSE,FALSE,NA,4.605794429779053,0,2,1,0,1,41--1,207,0,NA
