event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM42713,"31 October 2023",2023,1,"Political violence","Violence against civilians",Attack,"Habar Gedir-Ayr Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Habar Gedir-Saleban Sub-Clan Group (Somalia); Labor Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Galgaduud,Dhuusamarreeb,,Dhuusamarreeb,5.5376,46.3867,1,"Caasimada; Hiiraan (Somalia); Radio Kulmiye; Radio Risala; Undisclosed Source","Local partner-Other","On 31 October 2023, Habar Gedir Ayr sub-clan militia shot and killed two civilian businessmen from Habar Gedir Saleeban clan in Dhuusamarreeb town (Dhuusamarreeb, Galgaduud). The motive was due to clan revenge between the subclans.",2,,1699385309
SOM42715,"31 October 2023",2023,1,"Political violence","Violence against civilians",Attack,"Habar Gedir-Saleban Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Habar Gedir-Ayr Sub-Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,Matabaan,5.1994,45.5252,1,"Radio Risala; Undisclosed Source","Local partner-Other","On 31 October 2023, Habar Gedir Saleeban clan militia shot and killed two civilians from Habar Gedir Ayr sub-clan in Matabaan village (Belet Weyne, Hiraan). The motive was due to clan revenge between the subclans.",2,,1699385309
SOM42716,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"ATMIS: African Union Transition Mission in Somalia (2022-) (Ethiopia)",,8,28,,706,"Eastern Africa",Somalia,Bakool,Waajid,,Waajid,3.8096,43.2463,1,"Calamada; Undisclosed Source","Local partner-Other","On 31 October 2023, Al Shabaab carried out an attack against ATMIS ENDF troops at a base in Waajid town (Waajid, Bakool). The attack was initiated with RPGs and followed by an exchange of gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42717,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Dhanaane,1.8739,45.0276,2,Calamada,National,"On 31 October 2023, Al Shabaab carried out an ambush government security forces (SNA) convoy travelling between Jaziira and Dhanaane town (Marka, Lower Shabelle). The attack was initiated with heavy gunfire from both sides. There were no casualties. Al Shabaab claimed responsibility.",0,,1699385309
SOM42720,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces",,1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Beerhani,-0.2201,42.1959,2,"Radio Dalsan; Undisclosed Source","Local partner-Other","On 31 October 2023, government security forces (Danab/Bancroft) conducted security operations and clashed with Al Shabaab in between Yaaq Xaluul and Beerhani village (Kismaayo, Lower Juba) and Qod-qod and Qudus village (coded separately). The security forces destroyed the militants' hideouts in the villages. There were no casualties.",0,,1699385309
SOM42721,"31 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces",,1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,Kismayo,-0.3603,42.5463,2,"Radio Dalsan; Undisclosed Source","Local partner-Other","On 31 October 2023, government security forces (Danab/Bancroft) conducted security operations and clashed with Al Shabaab in between Qod-qod and Qudus village near Kismayo town (Kismaayo, Lower Juba) and Yaaq Xaluul and Beerhani (coded separately). The security forces destroyed the militants' hideouts in the villages. There were no casualties.",0,,1699385309
SOM42689,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Special Forces","Military Forces of Somalia (2022-) Jubaland Security Force",1,"Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,"Lower Juba",Kismaayo,,"Buulo Xaaji",-0.632,41.9839,1,"Caasimada; Hiiraan (Somalia); Radio Dalsan; Radio Kulmiye; Radio Risala; Undisclosed Source","Local partner-Other","On 30 October 2023, government security forces (Danab/Bancroft) and Jubaland security forces clashed with Al Shabaab in Buulo Xaaji town (Kismaayo, Lower Juba). Both sides exchanged heavy gunfire. One senior militant was killed.",1,,1699385307
SOM42701,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Habar Gedir-Ayr Sub-Clan Militia (Somalia)",,4,"Habar Gedir-Saleban Sub-Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Galgaduud,Cadaado,,Xananburre,5.86,46.96,1,"Caasimada; Hiiraan (Somalia); Shabelle Media Network; Undisclosed Source","Local partner-Other","On 30 October 2023, Habar Gedir Ayr sub-clan militia and Habar Gedir Saleeban clan militia clashed in Xananburre village (Cadaado, Galgaduud). The motive was due to clan revenge and land dispute. Seven people were killed.",7,,1699385309
SOM42705,"30 October 2023",2023,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Somalia)",,3,"Civilians (Somalia)","Labor Group (Somalia)",7,37,"Civilian targeting",706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Waaberi",2.0195,45.31,1,"Undisclosed Source","Local partner-Other","On 30 October 2023, an Under Vehicle IED planted by an unidentified group detonated at the Sayidka neighborhood in Mogadishu - Waaberi (Banadir). The IED targeted a civilian staff member of Favori LLC, which manages the Aden Abdulle International Airport. The owner was not in the vehicle at the time of the blast. There were no casualties.",0,,1699385309
SOM42707,"30 October 2023",2023,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-) National Intelligence and Security Agency",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Kaxda",2.0399,45.2384,1,"Al Furqaan; Calamada; Undisclosed Source","Local partner-Other","On 30 October 2023, Al Shabaab shot and killed a government soldier (NISA) (assumed on duty) in Mogadishu - Kaxda (Banadir). Al Shabaab claimed responsibility.",1,,1699385309
