text,index,lem_text
"On 10 November 2024, 7 individuals suspected of being from the Logir community from Ikotos County attacked a civilian at his farm on the outskirts of Chukudum Town (Budi, Eastern Equatoria), killing him. The suspects then moved towards Kidepo Valley of Ikotos County. Motivation unknown/not reported. The deceased is likely a Didinga community member who reside in the area.",1,"on 10 November 2024 , 7 individual suspect of be from the Logir community from Ikotos County attack a civilian at his farm on the outskirt of Chukudum Town ( Budi , Eastern Equatoria ) , kill he . the suspect then move towards Kidepo Valley of Ikotos County . motivation unknown / not report . the deceased be likely a Didinga community member who reside in the area ."
"On 27 October 2024, armed individuals suspected to be Buya/Boya community members shot at a vehicle belonging to a road construction company between Lobira in Ikotos County and Tuhubak in Torit County along the Torit-Kapoeta Highway location coded to Lobira (Huma boma), (Ikotos County, Eastern Equatoria State). The incident left a soldier from the Internal Security Bureau (ISB) of the National Security Service (NSS) dead while a Sudanese national, was injured. The victims were returning from an assessment of the Juba-Torit-Kapoeta-Nadapal Highway for an upcoming construction, the deceased was among officers escorting the group. Motivation unknown/not reported.",2,"on 27 October 2024 , armed individual suspect to be Buya / Boya community member shoot at a vehicle belong to a road construction company between Lobira in Ikotos County and Tuhubak in Torit County along the Torit - Kapoeta Highway location cod to Lobira ( Huma boma ) , ( Ikotos County , Eastern Equatoria State ) . the incident leave a soldier from the Internal Security Bureau ( ISB ) of the National Security Service ( NSS ) dead while a sudanese national , be injure . the victim be return from an assessment of the Juba - Torit - Kapoeta - Nadapal Highway for an upcoming construction , the deceased be among officer escort the group . motivation unknown / not report ."
"On 26 October 2024, youth from Kapoeta South County (presumed to be from the Toposa community) clashed with local youth (likely from the Didinga community based on location) in Marira Boma of Ngauro/Lauru Payam (Budi, Eastern Equatoria). The clash followed an attempted a cattle raid by youths from Kapoeta South County at a cattle camp, 3 persons were killed and 3 others were injured. A local chief disputed the fatalities noting that only 1 individual was killed.",3,"on 26 October 2024 , youth from Kapoeta South County ( presume to be from the Toposa community ) clash with local youth ( likely from the Didinga community base on location ) in Marira Boma of Ngauro / Lauru Payam ( Budi , Eastern Equatoria ) . the clash follow an attempt a cattle raid by youth from Kapoeta South County at a cattle camp , 3 person be kill and 3 other be injure . a local chief dispute the fatality note that only 1 individual be kill ."
"On 22 September 2024, assailants, suspected to be youth from Ngauro Payam (coded as an unidentified armed group due to the area's diverse clans), stabbed, shot and killed an SSPDF soldier who was burning charcoal in Kimotong, Kimotong Payam (Budi county, Eastern Equatoria state). The motive remains unknown/unreported. The soldier's gun was stolen.",4,"on 22 September 2024 , assailant , suspect to be youth from Ngauro Payam ( cod as an unidentified armed group due to the area 's diverse clan ) , stab , shoot and kill an sspdf soldier who be burn charcoal in Kimotong , Kimotong Payam ( Budi county , Eastern Equatoria state ) . the motive remain unknown / unreported . the soldier 's gun be steal ."
"On 22 September 2024, an unidentified armed individual was suspected to have killed a member of the military (SSPDF) near Camp 15 (Budi, Eastern Equatoria). Motivation of the killing is not known.",5,"on 22 September 2024 , an unidentified armed individual be suspect to have kill a member of the military ( SSPDF ) near Camp 15 ( Budi , Eastern Equatoria ) . motivation of the killing be not know ."
"On 17 September 2024, armed young people suspected to be from the Toposa community killed a man from the Didinga community in Nauro Payam (coded as Lauru, Budi, Eastern Equatoria) over a gold mining dispute.",6,"on 17 September 2024 , armed young people suspect to be from the Toposa community kill a man from the Didinga community in Nauro Payam ( cod as Lauru , Budi , Eastern Equatoria ) over a gold mining dispute ."
"On 29 August 2024, an unidentified armed group attacked SSPDF soldiers at the Takaniyang mine area in Lotukei Payam (location coded as Lotukei, Budi, Eastern Equatoria). 2 soldiers were injured.",7,"on 29 August 2024 , an unidentified armed group attack SSPDF soldier at the Takaniyang mine area in Lotukei Payam ( location cod as Lotukei , Budi , Eastern Equatoria ) . 2 soldier be injure ."
"On 26 August 2024, raiders from Logir in Ikotos county, described as bandits, were pursued by local youths (coded as an unidentified clan militia) and clashed at Chukudum in Komiri (Budi county, Eastern Equatoria state) after a cattle raid. One raider was killed. An unspecified number of cattle were raided and later recovered. Four granaries/stores were burnt.",8,"on 26 August 2024 , raider from Logir in Ikotos county , describe as bandit , be pursue by local youth ( cod as an unidentified clan militia ) and clash at Chukudum in Komiri ( Budi county , Eastern Equatoria state ) after a cattle raid . one raider be kill . an unspecified number of cattle be raid and later recover . four granary / store be burn ."
"Around 11 August 2024 (between 11 August - 12 August), unidentified gunmen (described as from the Logir community) shot at motorcycles traveling on Ikotos-Tsertenya road in Murrum in Ikotos county (location coded to Ikotos, Ikotos, Eastern Equatoria) during an ambush. Motivation unknown/not reported. At least 3 civilians were killed and 1 was injured, and one of the shooters was arrested.",9,"around 11 August 2024 ( between 11 August - 12 August ) , unidentified gunman ( describe as from the Logir community ) shoot at motorcycle travel on Ikotos - Tsertenya road in Murrum in Ikotos county ( location cod to Ikotos , Ikotos , Eastern Equatoria ) during an ambush . motivation unknown / not report . at least 3 civilian be kill and 1 be injure , and one of the shooter be arrest ."
"On 11 August 2024, a suspected South Sudanese soldier killed a youth that was riding a motorcycle home in Ikotos (Ikotos, Eastern Equatoria). The motive is unknown. Officials arrested the soldier.",10,"on 11 August 2024 , a suspect south sudanese soldier kill a youth that be rid a motorcycle home in Ikotos ( Ikotos , Eastern Equatoria ) . the motive be unknown . official arrest the soldier ."
